Date,Category,Description,Amount (INR),Payment Method,Notes
2026-01-02,Groceries,Weekly grocery run — DMart,1840,UPI,Oats eggs fruits veggies
2026-01-04,Transport,Uber — office commute,320,UPI,
2026-01-05,Food & Dining,Lunch with Kiran — Cafe Noir,650,Card,
2026-01-06,Health,Vitamin D3 + Omega-3 supplements,760,UPI,Dr Ramesh prescription
2026-01-08,Utilities,Electricity bill — January,1420,Net Banking,BESCOM
2026-01-09,Health,Doctor consultation — Dr Ramesh City Clinic,500,Cash,Annual checkup
2026-01-10,Transport,Petrol — car refill,2800,Cash,Full tank
2026-01-12,Groceries,Mid-week top-up — BigBasket,940,UPI,
2026-01-14,Entertainment,Netflix subscription — January,649,Card,
2026-01-15,Food & Dining,Team lunch — project kickoff,0,Card,Company paid
2026-01-16,Shopping,Running shoes — Nike Air Zoom,3499,Card,From SportZone
2026-01-18,Utilities,Mobile recharge — Jio 84 day plan,719,UPI,
2026-01-19,Food & Dining,Dinner — family restaurant,1250,Card,Parents visit
2026-01-20,Groceries,Weekly groceries — local market,1560,Cash,
2026-01-22,Transport,Uber — airport drop (colleague),480,UPI,
2026-01-24,Food & Dining,Coffee + snack — CCD,310,UPI,
2026-01-26,Travel,Coorg trip — hotel share,3200,UPI,Paid for 4 people — Meena owes ₹1500
2026-01-26,Travel,Coorg trip — petrol share,600,Cash,
2026-01-26,Travel,Coorg trip — food,900,Cash,
2026-01-28,Groceries,Weekly groceries — DMart,1720,UPI,
2026-01-30,Utilities,Internet bill — Airtel Fiber,999,Auto-debit,
2026-01-30,Savings,Transfer to savings account,16200,Net Banking,Monthly savings goal
2026-02-01,Food & Dining,Lunch — office canteen,180,Card,
2026-02-03,Groceries,Weekly groceries,1890,UPI,
2026-02-05,Entertainment,Movie tickets — PVR (2 tickets),700,Card,Dune Part 2
2026-02-06,Food & Dining,Dinner with friends — Social Kitchen,1100,Card,
2026-02-08,Health,Gym registration — FitZone,2500,UPI,Monthly membership
2026-02-10,Technology,RAM upgrade — 8GB DDR4,2900,Card,Bought from Amazon
2026-02-12,Groceries,Weekly groceries — BigBasket,2010,UPI,
2026-02-14,Food & Dining,Valentine brunch — Le Cafe,980,Card,
2026-02-15,Utilities,Electricity bill — February,1380,Net Banking,BESCOM
2026-02-17,Shopping,Books — Deep Work + Thinking Fast & Slow,1080,Card,Amazon order
2026-02-18,Groceries,Weekly groceries — local market,1320,Cash,
2026-02-20,Transport,Uber rides — weekly total,1140,UPI,
2026-02-22,Health,Dental checkup,800,Cash,Overdue — Dr Priya clinic
2026-02-24,Food & Dining,Office team outing,0,Card,Company paid
2026-02-25,Insurance,SafeLife term insurance — annual premium,8200,Net Banking,Policy renewal April 2026
2026-02-27,Groceries,Monthly bulk groceries,3200,Card,
2026-02-28,Savings,Transfer to savings account,15800,Net Banking,February savings
2026-03-01,Food & Dining,Brunch — weekend,640,UPI,
2026-03-03,Shopping,Mom birthday gift — Greenleaf spa voucher,2500,Card,Spa day for mom
2026-03-03,Shopping,Birthday flowers bouquet,450,Cash,
2026-03-05,Groceries,Weekly groceries — DMart,1760,UPI,
2026-03-06,Transport,Petrol — car refill,2750,Cash,
2026-03-07,Technology,Protein powder — Whey vanilla 1kg,1899,Card,MuscleBlaze from Amazon
2026-03-08,Utilities,Electricity bill — March,1510,Net Banking,BESCOM
2026-03-09,Health,Gym monthly fee — FitZone,2500,UPI,
2026-03-10,Food & Dining,Lunch with CA Pradeep,880,Cash,ITR filing discussion
2026-03-10,Professional,CA fees — ITR filing,2500,UPI,CA Pradeep
